자마, 66, 195
타차, 56, 140
파파, 84, 193
가아, 90, 179
차타, 87, 145
다파, 62, 193
마라, 80, 177
파가, 65, 176
다나, 88, 154
하사, 90, 161
차바, 51, 198
나아, 64, 165
카라, 73, 184
아나, 85, 175
바나, 42, 158
자아, 55, 154
다자, 65, 159
다사, 85, 145
차다, 70, 159
파다, 89, 178
바바, 64, 189
라마, 68, 190
파다, 62, 178
차사, 76, 154
아마, 93, 195
차자, 47, 144
가다, 79, 163
하가, 67, 161
바타, 98, 150
라타, 67, 183
바가, 92, 157
바카, 96, 144
타아, 44, 182
마카, 93, 147
하차, 73, 187
파가, 87, 155
다사, 91, 162
사아, 59, 154
파차, 95, 182
파바, 72, 195
아사, 41, 142
하사, 80, 174
마다, 70, 174
다파, 44, 172
바나, 53, 166
타마, 49, 184
아다, 62, 169
하하, 91, 144
자아, 93, 143
하사, 54, 190
가다, 95, 145
하바, 84, 184
타사, 64, 164
카하, 53, 189
나아, 48, 149
가다, 84, 151
차사, 93, 180
카바, 87, 193
타타, 71, 164
사사, 59, 165
바아, 54, 185
하사, 95, 160
바다, 44, 182
하사, 85, 142
카차, 45, 167
바라, 47, 198
파라, 69, 163
차자, 63, 194
라파, 45, 191
바카, 50, 156
카아, 62, 187
바카, 58, 157
자타, 40, 150
차라, 66, 142
다자, 87, 151
가파, 94, 180
파파, 51, 144
사나, 97, 194
자마, 66, 141
차파, 71, 159
자사, 99, 165
파파, 46, 173
자아, 60, 180
자마, 42, 181
자차, 99, 184
파가, 92, 190
아카, 71, 184
파아, 99, 149
바자, 52, 199
나나, 64, 152
파바, 78, 145
다나, 47, 191
마가, 68, 177
마아, 44, 161
마라, 49, 182
아나, 73, 183
다나, 63, 146
라라, 40, 188
사다, 64, 187
하타, 97, 184
나파, 70, 185
자하, 60, 184
자타, 40, 182
나하, 78, 181
차카, 83, 149
사바, 92, 141
라다, 48, 174
마파, 43, 163
나타, 92, 186
사타, 49, 164
파바, 96, 144
카카, 43, 176
다하, 48, 192
다카, 44, 141
파자, 72, 190
하가, 87, 186
사가, 57, 147
바카, 50, 189
파라, 74, 169
카나, 52, 197
바하, 95, 196
파사, 94, 168
자사, 84, 191
아바, 93, 168
사파, 67, 187
마파, 88, 140
하차, 92, 196
가가, 56, 193
나사, 69, 174
아바, 43, 169
파차, 58, 164
타마, 74, 183
바아, 76, 194
사사, 68, 145
사나, 73, 151
바가, 86, 197
타아, 84, 152
라가, 70, 145
바아, 66, 190
가사, 44, 167
사가, 44, 150
하나, 85, 149
아사, 94, 166
나타, 55, 192
차하, 46, 152
타하, 49, 152
하아, 48, 169
라차, 62, 161
타아, 52, 187
바바, 87, 179
바차, 46, 174
사다, 71, 187
아타, 61, 162
아자, 45, 183
바사, 74, 153
파아, 90, 190
마사, 97, 194
하타, 55, 142
사사, 54, 144
파카, 44, 192
가파, 91, 186
마하, 55, 142
다차, 68, 183
가하, 71, 187
자차, 84, 143
하파, 49, 180
파바, 79, 186
파타, 80, 146
사나, 96, 167
하나, 68, 155
다사, 66, 146
하마, 86, 145
파하, 40, 151
나파, 88, 173
바타, 81, 147
자타, 47, 178
카자, 77, 156
하타, 99, 141
라하, 45, 143
하아, 89, 192
파아, 45, 148
자아, 54, 143
아라, 88, 159
하라, 70, 160
타나, 41, 140
라파, 85, 185
바차, 65, 188
나다, 98, 199
자다, 50, 152
마아, 84, 163
아바, 45, 199
라가, 78, 142
파카, 74, 199
타라, 83, 188
타다, 77, 165
사라, 41, 141
타자, 92, 174
카아, 52, 180
라사, 74, 160
하자, 99, 144
라사, 60, 147
카마, 43, 141
자가, 93, 187
타사, 85, 199
하나, 54, 190
타파, 75, 170
가바, 61, 180
라아, 45, 197
카자, 56, 151
나자, 97, 187
다타, 99, 193
라가, 44, 141
타하, 54, 163
나하, 99, 193
차차, 84, 158
파가, 43, 189
바카, 97, 140
자가, 56, 144
가아, 97, 188
바나, 40, 191
나자, 53, 189
사라, 59, 144
아사, 44, 158
나나, 98, 166
라다, 85, 180
카타, 60, 170
하카, 58, 169
하하, 48, 186
카카, 69, 193
바차, 67, 141
나차, 72, 162
자차, 56, 145
파다, 76, 140
마타, 76, 183
자아, 44, 174
바파, 50, 151
타아, 65, 173
나나, 75, 156
사라, 78, 197
가타, 41, 173
바바, 67, 158
나라, 42, 143
카파, 60, 191
타사, 68, 155
가차, 80, 183
파타, 58, 141
파다, 44, 168
바카, 75, 188
사다, 57, 176
하라, 89, 189
타아, 79, 170
사카, 45, 189
나마, 74, 193
아차, 87, 169
자아, 83, 152
아나, 54, 168
타라, 91, 177
다아, 59, 174
하라, 75, 163
카라, 55, 181
파라, 67, 140
파사, 81, 157
바파, 54, 152
파나, 77, 180
가파, 78, 196
자자, 47, 174
사라, 53, 192
차가, 71, 188
가사, 57, 189
바자, 59, 178
자가, 53, 194
자라, 45, 182
바바, 40, 187
타사, 73, 160
자가, 96, 168
차아, 42, 143
다마, 88, 180
자하, 45, 181
다자, 82, 169
라아, 83, 147
타아, 53, 151
아가, 71, 174
자자, 62, 180
자타, 43, 191
자자, 75, 150
자가, 56, 183
가자, 83, 187
바자, 71, 164
다가, 71, 177
차바, 42, 154
라차, 52, 151
바나, 46, 149
파카, 51, 150
바하, 79, 173
차사, 94, 179
바바, 50, 187
바나, 56, 180
아바, 83, 148
타차, 68, 165
차마, 48, 195
차차, 69, 152
나나, 78, 189
카타, 52, 163
하파, 67, 159
사하, 43, 172
파아, 46, 192
파카, 83, 191
라마, 82, 193
카자, 55, 185
가사, 93, 191
사파, 91, 163
라바, 63, 155
다차, 52, 162
타사, 54, 157
바라, 96, 196
바아, 58, 166
타차, 71, 198
나다, 78, 144
마하, 88, 189
나사, 49, 169
자카, 62, 144
아바, 86, 147
라바, 75, 168
나나, 51, 190
자나, 96, 172
마카, 65, 195
바사, 41, 142
파타, 65, 196
라아, 72, 180
파라, 94, 168
파라, 92, 164
타다, 44, 188
가차, 43, 145
하자, 50, 145
하파, 56, 186
하하, 51, 148
가가, 74, 169
차가, 96, 156
가다, 45, 177
바파, 59, 144
타나, 50, 175
자가, 83, 160
아파, 53, 190
바자, 78, 158
바라, 46, 154
파나, 66, 178
타파, 45, 153
가파, 64, 170
차자, 78, 187
마나, 63, 178
바라, 82, 195
마나, 73, 178
카사, 67, 150
카마, 43, 189
사라, 42, 156
사파, 42, 191
다하, 86, 151
타자, 90, 182
하하, 78, 160
파다, 52, 174
바가, 95, 178
가마, 83, 145
나라, 52, 164
라다, 61, 149
바아, 76, 183
나다, 51, 156
가파, 74, 154
파라, 62, 165
사카, 99, 195
차카, 50, 163
나자, 51, 176
라바, 60, 152
나마, 91, 175
가아, 47, 199
다가, 56, 184
하아, 43, 176
자나, 45, 146
가나, 85, 149
가사, 46, 155
자나, 88, 193
차자, 77, 146
차사, 93, 198
사차, 73, 171
마타, 67, 163
하사, 97, 166
마하, 53, 154
자라, 75, 151
타파, 63, 154
라타, 65, 172
다타, 49, 167
라하, 60, 171
타라, 69, 153
라타, 84, 172
다바, 86, 169
가가, 89, 161
아아, 80, 143
라하, 93, 144
아나, 95, 194
라마, 58, 172
파카, 75, 168
마나, 43, 157
라마, 46, 177
자다, 97, 168
마다, 62, 184
파라, 91, 141
다파, 73, 168
나아, 86, 150
라다, 48, 176
차하, 83, 196
라카, 41, 196
나가, 40, 172
사라, 74, 199
나하, 79, 177
타바, 92, 179
하파, 77, 156
가하, 43, 161
하파, 47, 147
나마, 99, 177
사사, 64, 174
파차, 96, 195
나라, 97, 199
카바, 61, 163
라마, 47, 160
차하, 69, 175
카가, 40, 164
타가, 62, 193
파라, 64, 140
파바, 58, 199
사차, 44, 155
아나, 57, 192
나다, 48, 186
사아, 74, 190
나가, 97, 165
마차, 47, 161
다다, 42, 147
차카, 50, 155
라아, 88, 199
라자, 60, 173
다타, 85, 191
하마, 78, 173
라가, 53, 155
카카, 40, 162
라차, 79, 162
파타, 64, 149
나자, 63, 157
다자, 79, 170
나마, 67, 146
카파, 77, 180
마타, 58, 150
다타, 80, 148
차사, 54, 194
라하, 48, 199
파파, 67, 143
아하, 64, 198
다나, 68, 145
나나, 55, 146
타라, 81, 143
나나, 70, 198
파사, 96, 168
아마, 56, 180
바나, 77, 198
자사, 99, 171
바나, 51, 192
자타, 77, 152
타라, 48, 144
사사, 60, 188
바바, 51, 142
아파, 64, 144
바사, 49, 159
나타, 42, 149
다다, 85, 154
마나, 57, 149
가바, 87, 166
마하, 99, 196
라아, 79, 184
다아, 98, 172
다타, 48, 198
나하, 51, 169
차사, 60, 168
하아, 50, 142
하라, 93, 143
파사, 95, 181
카마, 76, 150
마바, 49, 145
하아, 89, 176
파카, 93, 179
라가, 49, 143
나다, 55, 148
카카, 46, 149
아다, 97, 154
아파, 66, 196
아차, 81, 183
하라, 57, 197
다차, 90, 183
타차, 41, 177
카자, 92, 185
차라, 49, 157
아가, 91, 194
나카, 47, 170
마라, 48, 173
파차, 62, 173
라아, 64, 162
다가, 82, 149
파사, 63, 198
나라, 72, 185
가사, 41, 189
사사, 99, 151
하라, 52, 163
아파, 87, 184
마바, 97, 148
하가, 54, 178
가파, 90, 179
다파, 69, 191
바다, 81, 141
사바, 75, 186
타카, 50, 175
아하, 95, 179
카카, 90, 197
나타, 45, 149
사아, 99, 181
마자, 69, 174
카나, 58, 172
하차, 44, 170
아마, 56, 165
라타, 65, 144
마아, 53, 188
아다, 59, 186
사카, 46, 173
아사, 62, 157
라마, 48, 187
타다, 78, 183
마바, 97, 159
카라, 76, 163
사나, 70, 162
가차, 87, 142
바아, 87, 156
라마, 75, 198
타마, 50, 181
사자, 78, 149
파하, 45, 162
바라, 53, 151
다바, 92, 194
다마, 75, 152
라차, 85, 198
가자, 91, 174
가다, 96, 140
자가, 89, 155
사차, 66, 145
타다, 59, 191
타마, 63, 175
가나, 77, 172
나바, 67, 172
마아, 62, 146
